model,loc,seconds,theme,difficulty,test
DeepSeek V4 Pro,74,65.368,1,1,1
Qwen3.6 Plus,85,41.24,1,1,1
Gemini 3.5 Flash,71,15.61,1,1,1
DeepSeek V4 Pro,74,65.368,1,1,2
Qwen3.6 Plus,85,41.24,1,1,2
Gemini 3.5 Flash,71,15.61,1,1,2
DeepSeek V4 Pro,74,65.368,1,1,3
Qwen3.6 Plus,85,41.24,1,1,3
Gemini 3.5 Flash,71,15.61,1,1,3
DeepSeek V4 Pro,74,65.368,1,1,4
Qwen3.6 Plus,85,41.24,1,1,4
Gemini 3.5 Flash,71,15.61,1,1,4
DeepSeek V4 Pro,74,65.368,1,1,5
Qwen3.6 Plus,85,41.24,1,1,5
Gemini 3.5 Flash,71,15.61,1,1,5
DeepSeek V4 Pro,191,215.7689,1,2,1
Qwen3.6 Plus,672,154.32206,1,2,1
Gemini 3.5 Flash,554,33.013690000000004,1,2,1
DeepSeek V4 Pro,191,215.769,1,2,2
Qwen3.6 Plus,672,154.322,1,2,2
Gemini 3.5 Flash,554,33.014,1,2,2
DeepSeek V4 Pro,191,215.769,1,2,3
Qwen3.6 Plus,672,154.322,1,2,3
Gemini 3.5 Flash,554,33.014,1,2,3
DeepSeek V4 Pro,191,215.769,1,2,4
Qwen3.6 Plus,672,154.322,1,2,4
Gemini 3.5 Flash,554,33.014,1,2,4
DeepSeek V4 Pro,191,215.769,1,2,5
Qwen3.6 Plus,672,154.322,1,2,5
Gemini 3.5 Flash,554,33.014,1,2,5
DeepSeek V4 Pro,283,72.04102999999999,1,3,1
Qwen3.6 Plus,418,100.9667,1,3,1
Gemini 3.5 Flash,483,37.739470000000004,1,3,1
DeepSeek V4 Pro,283,72.041,1,3,2
Qwen3.6 Plus,418,100.967,1,3,2
Gemini 3.5 Flash,483,37.739,1,3,2
DeepSeek V4 Pro,283,72.041,1,3,3
Qwen3.6 Plus,418,100.967,1,3,3
Gemini 3.5 Flash,483,37.739,1,3,3
DeepSeek V4 Pro,283,72.041,1,3,4
Qwen3.6 Plus,418,100.967,1,3,4
Gemini 3.5 Flash,483,37.739,1,3,4
DeepSeek V4 Pro,283,72.041,1,3,5
Qwen3.6 Plus,418,100.967,1,3,5
Gemini 3.5 Flash,483,37.739,1,3,5
DeepSeek V4 Pro,237,66.73446000000001,2,1,1
Qwen3.6 Plus,32,46.78277,2,1,1
Gemini 3.5 Flash,36,12.680069999999999,2,1,1
DeepSeek V4 Pro,237,66.734,2,1,2
Qwen3.6 Plus,32,46.783,2,1,2
Gemini 3.5 Flash,36,12.68,2,1,2
DeepSeek V4 Pro,237,66.734,2,1,3
Qwen3.6 Plus,32,46.783,2,1,3
Gemini 3.5 Flash,36,12.68,2,1,3
DeepSeek V4 Pro,237,66.734,2,1,4
Qwen3.6 Plus,32,46.783,2,1,4
Gemini 3.5 Flash,36,12.68,2,1,4
DeepSeek V4 Pro,237,66.734,2,1,5
Qwen3.6 Plus,32,46.783,2,1,5
Gemini 3.5 Flash,36,12.68,2,1,5
DeepSeek V4 Pro,444,198.166,2,2,1
Qwen3.6 Plus,177,135.389,2,2,1
Gemini 3.5 Flash,377,34.617,2,2,1
DeepSeek V4 Pro,444,198.166,2,2,2
Qwen3.6 Plus,177,135.389,2,2,2
Gemini 3.5 Flash,377,34.617,2,2,2
DeepSeek V4 Pro,444,198.166,2,2,3
Qwen3.6 Plus,177,135.389,2,2,3
Gemini 3.5 Flash,377,34.617,2,2,3
DeepSeek V4 Pro,444,198.166,2,2,4
Qwen3.6 Plus,177,135.389,2,2,4
Gemini 3.5 Flash,377,34.617,2,2,4
DeepSeek V4 Pro,444,198.166,2,2,5
Qwen3.6 Plus,177,135.389,2,2,5
Gemini 3.5 Flash,377,34.617,2,2,5
DeepSeek V4 Pro,319,100.89767,2,3,1
Qwen3.6 Plus,518,133.54637,2,3,1
Gemini 3.5 Flash,695,53.251349999999995,2,3,1
DeepSeek V4 Pro,319,100.898,2,3,2
Qwen3.6 Plus,518,133.546,2,3,2
Gemini 3.5 Flash,695,53.251,2,3,2
DeepSeek V4 Pro,319,100.898,2,3,3
Qwen3.6 Plus,518,133.546,2,3,3
Gemini 3.5 Flash,695,53.251,2,3,3
DeepSeek V4 Pro,319,100.898,2,3,4
